student,hw1,hw2,hw3,hw4,hw5,hw6,hw7
1,30,26,28,30,30,28,30
2,30,26,30,30,28,30,30
3,30,28,28,24,26,24,26
4,22,26,0,0,0,0,0
5,28,0,0,0,0,0,0
6,20,18,18,28,26,28,28
7,14,24,12,24,6,30,24
8,28,28,30,26,28,30,30
9,28,30,26,30,28,30,30
10,16,20,16,22,0,20,18
11,28,24,28,26,30,28,28
12,30,30,30,30,28,28,28
13,30,26,28,30,28,28,28
14,14,28,26,24,28,26,22
15,18,18,14,28,24,24,16
16,0,0,0,0,0,0,0
17,24,26,28,30,28,26,28
18,30,26,28,28,26,22,24
19,24,20,22,30,28,30,26
20,0,0,0,0,0,0,0
21,30,28,28,30,28,28,28
22,24,28,28,28,30,28,30
23,28,26,28,18,28,22,20
24,30,28,30,28,30,30,30
25,28,30,30,28,28,30,26
26,22,20,0,0,0,0,0
27,0,0,0,0,0,0,0
28,26,28,26,28,20,24,28
29,28,28,28,30,30,30,28
30,20,18,0,6,0,0,0
31,28,28,26,22,8,18,20
32,0,0,0,0,0,0,0
33,30,30,26,30,28,26,30
34,24,24,30,30,28,30,28
35,0,0,0,0,0,0,0
36,22,26,26,20,28,22,18
37,16,28,26,28,28,28,30
38,26,26,26,24,28,26,30
39,26,24,26,0,0,0,0
40,0,0,10,0,0,0,0
41,26,24,24,28,26,24,28
42,30,30,30,30,30,30,30
43,26,28,28,26,28,26,28
44,30,26,30,28,28,26,28
45,26,24,20,26,16,26,28
46,28,26,30,28,30,30,28
47,28,28,30,30,28,30,28
48,30,28,30,28,30,28,30
49,30,28,30,26,26,30,26
50,22,24,30,28,28,8,28
51,16,12,6,26,14,14,14
52,28,28,30,30,30,28,30
53,18,24,28,24,28,22,30
54,30,30,30,30,30,28,30
55,30,28,22,28,30,30,28
56,28,26,16,24,16,18,24
57,26,28,26,30,28,30,26
58,30,28,26,28,26,28,30
59,28,28,30,28,28,20,30
60,28,24,28,30,30,28,26
61,26,16,8,16,8,10,8
62,24,26,10,26,26,28,24
63,0,0,0,0,0,0,0
64,22,24,22,28,30,28,26
65,28,30,30,28,28,30,28
66,28,24,24,30,20,30,30
67,30,28,28,30,28,30,30
68,26,22,24,30,28,28,28
69,0,0,0,0,0,0,0
70,28,28,30,28,26,26,22
71,28,28,26,26,26,28,28
72,20,28,26,30,18,28,28
73,28,28,30,30,30,28,30
74,28,24,26,30,28,30,26
75,20,24,28,14,14,22,16
76,20,16,12,22,14,24,20
77,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0
79,28,28,30,28,30,30,28
80,0,0,0,0,0,0,0
81,28,28,26,30,26,22,26
82,24,24,30,28,30,26,22
83,28,30,30,30,30,28,28
84,30,30,30,30,28,26,28
85,28,30,28,30,28,28,30
87,26,30,30,28,28,26,28
88,28,12,18,24,28,28,18
89,0,0,0,0,0,0,0
90,4,22,6,12,0,0,4
91,26,24,16,0,0,0,0
92,24,24,20,28,26,20,22
93,12,14,0,0,0,0,0
94,30,28,26,28,30,24,28
95,28,28,30,30,30,28,30
96,30,30,30,30,30,30,30
97,30,30,30,30,28,28,30
98,28,28,24,28,28,28,28
99,26,12,20,26,8,24,26
100,28,30,24,28,28,30,28
101,28,26,28,22,30,24,22
102,28,24,30,26,28,28,28
103,22,22,0,10,8,8,0
104,24,26,28,24,20,24,16
105,30,28,16,16,12,18,20
106,30,28,30,30,30,30,30
107,30,28,28,30,30,28,30
108,26,28,28,30,30,28,28
109,22,18,18,22,16,20,30
110,24,28,30,26,28,26,30
111,24,26,30,28,28,30,28
112,28,30,30,30,30,28,28
113,28,26,28,30,28,28,30
114,18,8,20,8,8,14,20
115,30,24,30,28,30,26,26
116,24,20,16,20,18,28,22
117,30,28,28,30,28,28,30
118,26,28,28,28,28,28,28
119,26,28,30,28,28,30,26
120,26,26,24,26,24,14,18
121,30,30,26,28,24,24,18
122,26,28,30,24,26,24,26
123,30,26,30,28,30,28,28
124,28,24,30,30,30,30,30
125,26,28,18,20,20,10,0
126,28,28,28,28,30,30,28
127,30,26,28,30,28,28,30
128,0,0,0,0,0,0,0
129,28,24,28,28,28,26,22
130,0,0,0,0,0,0,0
131,0,0,0,0,0,0,0
132,26,24,28,24,22,26,18
133,10,8,6,0,0,0,0
134,28,24,28,28,28,30,26
