student,collabs,order
1,[49],1
2,"[29, 42, 54]",1
3,"[49, 54, 97]",1
3,"[54, 97]",2
6,[4],1
8,"[33, 46]",1
9,[48],1
10,[10],1
11,"[98, 126]",1
12,"[25, 84, 102]",1
13,[68],1
14,[120],1
15,[19],1
17,"[50, 87, 123]",1
18,[56],1
19,"[74, 98, 111]",1
21,"[47, 129]",1
22,[4],1
23,[36],1
24,"[56, 115]",1
25,"[12, 44]",1
28,"[61, 72, 99]",1
29,"[2, 79, 119]",1
30,"[54, 81]",1
31,[105],1
33,[8],1
34,[62],1
36,[23],1
37,[65],1
38,[122],1
41,"[67, 96]",1
42,"[47, 54, 97]",1
43,"[57, 117]",1
44,"[12, 25, 98]",1
45,[113],1
46,"[73, 100, 124]",1
47,"[21, 52, 129]",1
48,"[9, 65]",1
49,[1],1
50,"[17, 123]",1
51,[41],1
52,"[21, 47, 129]",1
54,"[2, 42, 127]",1
55,"[118, 125]",1
56,"[18, 24, 115]",1
57,[43],1
58,"[47, 71]",1
59,"[81, 98, 107]",1
60,[134],1
62,"[34, 88, 116]",1
62,"[34, 88, 116]",2
64,"[110, 116]",1
65,"[37, 48, 127]",1
66,[117],1
67,[74],1
68,"[13, 115]",1
70,"[100, 124]",1
71,[58],1
72,[28],1
73,"[46, 100, 112]",1
74,"[19, 82, 111]",1
75,[74],1
75,[74],2
76,[5],1
79,[29],1
81,"[30, 132, 134]",1
82,"[19, 74]",1
83,[4],1
84,"[12, 70, 102]",1
85,"[96, 98, 118]",1
87,"[17, 123]",1
88,"[62, 116]",1
90,[132],1
92,[92],1
94,[94],1
95,"[12, 97, 98]",1
96,"[85, 98, 107]",1
97,"[42, 100]",1
98,"[85, 95, 96, 107]",1
99,[28],1
100,"[46, 70, 124]",1
101,[4],1
102,"[12, 84]",1
103,[4],1
104,[39],1
105,"[31, 100]",1
106,[106],1
107,"[59, 98]",1
108,[4],1
108,[4],2
109,[109],1
110,"[64, 102]",1
111,"[19, 74, 98]",1
112,[73],1
113,[45],1
114,[4],1
114,[114],2
115,"[24, 66, 68]",1
115,"[24, 56, 66]",2
116,"[88, 132]",1
117,"[43, 66, 79]",1
118,"[55, 85]",1
119,[29],1
120,[14],1
121,[4],1
122,[38],1
123,"[17, 50, 87]",1
124,"[46, 70, 100]",1
125,[55],1
126,[11],1
127,"[42, 54]",1
129,"[21, 47, 52]",1
132,"[81, 116, 134]",1
134,"[81, 132]",1
