"student","hw1","hw2","hw3","hw4","hw5","hw6","hw7","test1","test2","did_drop_after4","did_drop_immediately"
1,30,26,28,30,30,28,30,60,60,FALSE,FALSE
2,30,26,30,30,28,30,30,57,54,FALSE,FALSE
3,30,28,28,24,26,24,26,54,57,FALSE,FALSE
4,22,26,0,0,0,0,0,0,0,TRUE,FALSE
5,28,0,0,0,0,0,0,0,0,TRUE,FALSE
6,20,18,18,28,26,28,28,45,51,FALSE,FALSE
7,14,24,12,24,6,30,24,36,33,FALSE,FALSE
8,28,28,30,26,28,30,30,60,51,FALSE,FALSE
9,28,30,26,30,28,30,30,54,54,FALSE,FALSE
10,16,20,16,22,0,20,18,45,24,FALSE,FALSE
11,28,24,28,26,30,28,28,51,54,FALSE,FALSE
12,30,30,30,30,28,28,28,54,54,FALSE,FALSE
13,30,26,28,30,28,28,28,54,39,FALSE,FALSE
14,14,28,26,24,28,26,22,60,42,FALSE,FALSE
15,18,18,14,28,24,24,16,36,30,FALSE,FALSE
16,0,0,0,0,0,0,0,0,0,TRUE,TRUE
17,24,26,28,30,28,26,28,42,42,FALSE,FALSE
18,30,26,28,28,26,22,24,60,51,FALSE,FALSE
19,24,20,22,30,28,30,26,0,54,FALSE,FALSE
20,0,0,0,0,0,0,0,0,0,TRUE,TRUE
21,30,28,28,30,28,28,28,60,54,FALSE,FALSE
22,24,28,28,28,30,28,30,45,48,FALSE,FALSE
23,28,26,28,18,28,22,20,60,54,FALSE,FALSE
24,30,28,30,28,30,30,30,57,60,FALSE,FALSE
25,28,30,30,28,28,30,26,51,57,FALSE,FALSE
26,22,20,0,0,0,0,0,0,0,TRUE,FALSE
27,0,0,0,0,0,0,0,0,0,TRUE,TRUE
28,26,28,26,28,20,24,28,60,60,FALSE,FALSE
29,28,28,28,30,30,30,28,54,54,FALSE,FALSE
30,20,18,0,6,0,0,0,0,0,TRUE,FALSE
31,28,28,26,22,8,18,20,51,51,FALSE,FALSE
32,0,0,0,0,0,0,0,0,0,TRUE,TRUE
33,30,30,26,30,28,26,30,60,60,FALSE,FALSE
34,24,24,30,30,28,30,28,60,54,FALSE,FALSE
